contestantName,rank,currentRating
AGF,202,78.2857957939
Trabzonspor,203,78.2153110983
Angers SCO,204,78.2105388018
Deportes Tolima,205,78.1998780902
Johor Darul Ta'zim,206,78.1899650191
Sheffield United,207,78.1778672822
Charlton Athletic,208,78.1525381058
Lech Poznań,209,78.1165639772
Auxerre,210,78.1154627403
Elversberg,211,78.097843046
Spartak Moskva,212,78.0692114297
Universitario,213,78.0633234708
St. Pauli,214,78.0604017979
Le Havre,215,78.0207590165
Nantes,216,78.0159872622
Samsunspor,217,77.9866229133
Shakhtar Donetsk,218,77.9554238454
Heidenheim,219,77.9209220102
São Paulo,220,77.9209071454
Monterrey,221,77.9208534789
Deportivo Riestra,222,77.9117312428
Górnik Zabrze,223,77.9102779676
Independiente,224,77.9087949644
Jablonec,225,77.900001024
Rangers,226,77.8922933569
Raja Casablanca,227,77.8720072578
Djurgården,228,77.8640322086
Maccabi Tel Aviv,229,77.8500853208
Hellas Verona,230,77.8482502125
Atlético Mineiro,231,77.8467672632
Minnesota United,232,77.8290966753
Beşiktaş,233,77.8236599514
Wrexham,234,77.8196227783
Twente,235,77.6966770846
Paris FC,236,77.667685214
Sporting Charleroi,237,77.6298864284
Universidad Católica,238,77.6012478022
Young Africans,239,77.5916057672
Mechelen,240,77.564199275
Vélez Sarsfield,241,77.5506069385
Orlando City,242,77.5472506711
Watford,243,77.4464091194
Antwerp,244,77.3950390258
San Lorenzo,245,77.3917218557
Almería,246,77.3590808861
Gil Vicente,247,77.3447712264
Swansea City,248,77.3205551545
Blackburn Rovers,249,77.3165191761
Bahia,250,77.2974252767
Shabab Al Ahli,251,77.279282173
Central Córdoba SdE,252,77.2640374741
Gent,253,77.2537792954
Coquimbo Unido,254,77.2533975434
Lorient,255,77.2200254679
Estudiantes,256,77.2134066784
Legia Warszawa,257,77.2079182808
Las Palmas,258,77.196178061
MC Alger,259,77.1858059588
Queens Park Rangers,260,77.1638928767
Internacional,261,77.1301259855
Nashville SC,262,77.1058593449
Göztepe,263,77.0604376913
Wydad Casablanca,264,77.0555691646
Chicago Fire,265,77.0101113414
Cerro Porteño,266,76.9877878758
Metz,267,76.985234887
Charlotte,268,76.9789302142
Kawasaki Frontale,269,76.9771482037
Sint-Truiden,270,76.9723957189
Malmö FF,271,76.8205341246
Dynamo Kyiv,272,76.7567123264
Jeonbuk Motors,273,76.6877418294
ES Tunis,274,76.6557500381
Darmstadt 98,275,76.6309097874
Deportivo de La Coruña,276,76.6283424868
Tigre,277,76.623193044
Slovan Bratislava,278,76.6107382455
LA Galaxy,279,76.57802906
América de Cali,280,76.5769824465
Atlético Bucaramanga,281,76.5450758723
Machida Zelvia,282,76.5285712293
Cracovia,283,76.5252869498
Huracán,284,76.4999676142
Grêmio,285,76.4783307507
Kaiserslautern,286,76.4556088607
Moreirense,287,76.4435071723
Wolfsberger AC,288,76.4248047351
Hearts,289,76.4174705031
Zamalek,290,76.3884011713
Rijeka,291,76.3419297843
Hertha BSC,292,76.2696925816
Vasco da Gama,293,76.2641775648
Racing de Santander,294,76.2491587185
Barracas Central,295,76.2469438268
GAIS,296,76.2462253302
Karlsruher SC,297,76.2454919839
Orlando Pirates,298,76.2274256805
Independiente Rivadavia,299,76.1941436947
New York RB,300,76.1841902446
Leganés,301,76.1710590118
NEC,302,76.1538262356
Kyoto Sanga,303,76.0867137732
Rapid Bucureşti,304,76.0768309015
Levski Sofia,305,76.0705981016
Pogoń Szczecin,306,76.0471336523
Paks,307,76.0412675916
Guadalajara,308,76.0280005763
Zulte Waregem,309,76.0185368018
Al Qadsiah,310,76.0033256243
Universitatea Craiova,311,76.002405462
Simba,312,75.9854254079
Belgrano,313,75.9800269701
Tractor,314,75.9721632344
Lausanne-Sport,315,75.9701432515
RB Bragantino,316,75.9686619547
Hannover 96,317,75.9672103543
Ceará,318,75.9602298968
Barcelona,319,75.9528977072
Cerezo Osaka,320,75.9279670242
Portsmouth,321,75.9074537007
Junior,322,75.8869094565
Kabylie,323,75.8868249038
Independiente Santa Fe,324,75.8363202395
Dallas,325,75.8128054975
Belouizdad,326,75.8098419286
Unión,327,75.7882985687
Gamba Osaka,328,75.7824319415
Millonarios,329,75.7765682954
İstanbul Başakşehir,330,75.760820717
Győri ETO,331,75.7553222322
Schalke 04,332,75.7314956754
Holstein Kiel,333,75.7193992469
Nordsjælland,334,75.7018045994
Dinamo Moskva,335,75.6816442955
Al Taawoun,336,75.6462763313
Portland Timbers,337,75.6141322618
FCSB,338,75.579746879
Estoril,339,75.5504250442
Oxford United,340,75.5368638715
Westerlo,341,75.5284340094
Kuwait SC,342,75.5150598851
Tromsø,343,75.5079093075
Monza,344,75.4866518493
Wisła Płock,345,75.4785887471
Thun,346,75.472358195
Santos,347,75.4323950772
Always Ready,348,75.3961126196
Burgos,349,75.3902637053
Talleres de Córdoba,350,75.385484576
Go Ahead Eagles,351,75.3631441017
Fredrikstad,352,75.3521497949
Fortaleza,353,75.3099907896
Norwich City,354,75.2935147302
Once Caldas,355,75.2927669636
Lugano,356,75.2803221281
Universidad de Chile,357,75.2682141612
Olimpia,358,75.2639301014
Vitória,359,75.2590527615
IFK Göteborg,360,75.2422107603
Alajuelense,361,75.2113607252
Viborg,362,75.1916412691
Korona Kielce,363,75.1604941675
Yokohama F. Marinos,364,75.1263999304
Standard Liège,365,75.1033316104
Rosenborg,366,75.0974688964
Al Wahda,367,75.0910601881
Partizan,368,75.0666899914
Club Guaraní,369,75.0428585383
Silkeborg,370,74.9930428108
Santa Clara,371,74.9857149139
Istra 1961,372,74.9765550888
Radomiak Radom,373,74.9662961455
Gimnasia Mendoza,374,74.9640829703
Eibar,375,74.8684730178
The Strongest,376,74.8655272403
Bochum,377,74.8622447768
Real Salt Lake,378,74.8577799797
Cádiz,379,74.8571156549
Baltika,380,74.8245094699
Modena,381,74.7988646122
Randers,382,74.792636636
AIK,383,74.7845769373
Stockport County,384,74.7831115418
Platense,385,74.743897863
Venezia,386,74.735853241
Zagłębie Lubin,387,74.6951902152
RAAL La Louvière,388,74.6863983426
Ludogorets Razgrad,389,74.6761412178
Ceramica Cleopatra,390,74.6749429176
Pachuca,391,74.6471334231
Sønderjyske,392,74.6439049593
Cercle Brugge,393,74.6369449415
Hibernian,394,74.6175303121
Alianza Lima,395,74.6061598572
Alanyaspor,396,74.5937202328
Molde,397,74.5933539266
Zira,398,74.5889582586
Tokyo,399,74.5435207363
OH Leuven,400,74.5398741045
Sparta Rotterdam,401,74.5299841926
Deportivo Madryn,402,74.5296030661
Cesena,403,74.4431753197
Juventude,404,74.4387652231
Slovan Liberec,405,74.4336522651
DAC 1904,406,74.4318209149
Rio Ave,407,74.4255943394
Gimnasia La Plata,408,74.3790640784
Wycombe Wanderers,409,74.3768813653
Granada,410,74.3629636406
Macará,411,74.3585537614
St.Gallen,412,74.3483135328
Piast Gliwice,413,74.34721478
Sheffield Wednesday,414,74.3351285486
Varaždin,415,74.3307335777
Al Wasl,416,74.326159105
Arminia Bielefeld,417,74.3182812245
Frosinone,418,74.3058289668
Puskás,419,74.3018003156
Sirius,420,74.2904468978
Austin,421,74.2687706181
Troyes,422,74.2640779756
Hradec Králové,423,74.2303849759
Urawa Reds,424,74.2278050962
Servette,425,74.2076792185
Sigma Olomouc,426,74.1798467879
Palermo,427,74.145789332
Real Valladolid,428,74.1450569214
Slaven Koprivnica,429,74.1373666307
Zrinjski,430,74.1344370057
Rapid,431,74.1241833599
Estudiantes Caseros,432,74.1205065285
Instituto,433,74.0787603067
Bolton Wanderers,434,74.0776765669
Fortuna Düsseldorf,435,74.0677894681
Persepolis,436,74.0628495502
Beitar Jerusalem,437,74.0611981024
Kairat,438,74.0472830852
Atlético Tucumán,439,74.0278606678
Estudiantes Río Cuarto,440,74.0161429919
Petro de Luanda,441,74.0147607044
Godoy Cruz,442,74.0128474109
Daejeon Hana Citizen,443,74.0051562693
Maghreb Fès,444,73.9988483539
Albacete,445,73.997849123
Casa Pia,446,73.9824699761
GKS Katowice,447,73.9220533151
Banfield,448,73.914349255
Apollon,449,73.9136317781
Gimcheon Sangmu,450,73.895307933
Houston Dynamo,451,73.8882990652
Libertad,452,73.8835926963
Newell's Old Boys,453,73.8806635308
Lincoln City,454,73.8707924649
St. Louis City,455,73.8663303893
Saint-Étienne,456,73.8429658276
Tijuana,457,73.8337440705
Gaziantep FK,458,73.8272220216
Colo Colo,459,73.8209829405
Al Ain,460,73.8149602131
Castellón,461,73.7576582063
Al Hussein,462,73.7497903086
Arouca,463,73.7466747203
Lillestrøm,464,73.7466747203
Austria Wien,465,73.7342268599
Colorado Rapids,466,73.7275684968
Borac Banja Luka,467,73.7272707446
Córdoba,468,73.7258063031
Maribor,469,73.7236096433
KuPS,470,73.7082331087
Häcken,471,73.6880973924
Luzern,472,73.6826058772
Aldosivi,473,73.672340272
Pumas UNAM,474,73.6221320913
Defensa y Justicia,475,73.6185247566
Sepahan,476,73.617994062
Al Masry,477,73.6037969556
Fortaleza CEIF,478,73.5936311133
Al Shabab,479,73.5901717893
Mirandés,480,73.5819314168
Avispa Fukuoka,481,73.5610488312
Juve Stabia,482,73.551547272
Aris,483,73.5497169201
LASK,484,73.5101818293
Sporting de Gijón,485,73.5098157682
Ceuta,486,73.4695495553
Elfsborg,487,73.4442921735
Cardiff City,488,73.4435600814
Dinamo Bucureşti,489,73.4329447836
Hartberg,490,73.4150087502
Nacional,491,73.4043936412
Nürnberg,492,73.400733275
Sporting Cristal,493,73.3908355041
Motor Lublin,494,73.3765750681
Sarmiento,495,73.3696056764
Universidad Católica,496,73.3626511388
Toronto,497,73.3556431126
Reims,498,73.3355801561
Žilina,499,73.3286257661
Aucas,500,73.3278789033
Nacional Asunción,501,73.3242187118
Rizespor,502,73.2795798729
Riga,503,73.2795798729
FUS Rabat,504,73.2567882659
Levadiakos,505,73.2341954592
Athletico Paranaense,506,73.2034370879
Lokomotiva Zagreb,507,73.2001579936
Catanzaro,508,73.1975960631
Osijek,509,73.1975960631
Cusco,510,73.1866015854
Maccabi Haifa,511,73.1686831324
CFR Cluj,512,73.1631933945
San Martín San Juan,513,73.1547610111
Alianza,514,73.1500032785
Luton Town,515,73.1459923378
Lechia Gdańsk,516,73.0918285177
SJ Earthquakes,517,73.0580917121
Ararat-Armenia,518,73.0537685539
Arka Gdynia,519,73.0486451666
Municipal,520,73.0463811049
Noah,521,73.0431558412
Al Shorta,522,73.0380198887
Sion,523,73.0343729599
Sportivo Trinidense,524,73.0263072071
Dunkerque,525,73.0211987286
Vålerenga,526,73.0175392392
Huesca,527,73.0127819156
Leyton Orient,528,73.0003397516
Sabah,529,72.9926549341
Spezia,530,72.9805788671
Rostov,531,72.9399600405
Stevenage,532,72.9388622487
Liverpool,533,72.9256739868
FC Andorra,534,72.9051970021
Sandefjord,535,72.8792167004
Botoșani,536,72.8371368296
Atlanta United,537,72.8162119433
Juárez,538,72.8103575178
Águilas Doradas,539,72.8078497137
Widzew Łódź,540,72.7943262771
Seoul,541,72.7921145992
New England,542,72.7763290961
Groningen,543,72.7745679493
Alverca,544,72.7709090266
KFUM,545,72.7592005308
Baník Ostrava,546,72.7515168772
Boston River,547,72.7430866717
Astana,548,72.7302955509
Heerenveen,549,72.7273684937
Emelec,550,72.7112549574
Libertad,551,72.7097914457
Deportivo Saprissa,552,72.7071768064
Necaxa,553,72.6998592799
Melbourne City,554,72.693325554
FCV Farul Constanţa,555,72.6849267698
Orense,556,72.6549107287
Kocaelispor,557,72.6384617008
Criciúma,558,72.6344224142
Cultural Leonesa,559,72.6150467486
Zürich,560,72.5854126953
Málaga,561,72.5641935901
Deportivo Morón,562,72.5557643796
Real Sociedad II,563,72.5469990063
Preußen Münster,564,72.5199270611
Buriram United,565,72.5162524324
OB,566,72.5126103986
Gangwon,567,72.5100332816
USM Alger,568,72.5019021057
KÍ,569,72.5009038089
Sarpsborg 08,570,72.4972455173
Debrecen,571,72.4895631326
National Bank of Egypt,572,72.4543449452
Konyaspor,573,72.4533466783
Shimizu S-Pulse,574,72.4496722042
Tokyo Verdy,575,72.4394293408
CSKA Sofia,576,72.4035961332
Empoli,577,72.3911587414
Al Ahli Tripoli,578,72.3853734024
Nagoya Grampus,579,72.3841921851
Guingamp,580,72.3589682996
Reading,581,72.3395811908
HamKam,582,72.3095865102
Agropecuario,583,72.307011201
Beveren,584,72.2916631315
Rubin Kazan,585,72.2587431703
San Martín Tucumán,586,72.2539733081
Universitatea Cluj,587,72.241551908
Magdeburg,588,72.2320419285
CS Constantine,589,72.2154833098
Gimnasia Jujuy,590,72.2056920869
MC Oran,591,72.2015843581
Fortuna Sittard,592,72.1903450031
PEC Zwolle,593,72.1844928913
Kasımpaşa,594,72.1270701971
Gimnasia y Tiro,595,72.124495186
Red Star,596,72.116829427
Deportivo Pasto,597,72.0934073906
Argeș,598,72.0872047172
Montpellier,599,72.0846445832
Temperley,600,72.0784123206
MTK,601,72.070746786
Víkingur Reykjavík,602,72.0612378375
Bradford City,603,72.0469745226
Al Faisaly,604,72.0420408558
Tristán Suárez,605,72.0155077305
Goiás,606,71.9968562717
Oţelul Galați,607,71.9965053701
Spartak Trnava,608,71.9767570124
Marathón,609,71.9746611416
Kortrijk,610,71.9522547654
Defensor Sporting,611,71.9379776288
Vukovar,612,71.9262901148
Cherno more Varna,613,71.9244616344
Carrarese,614,71.9101995609
Koper,615,71.9003258935
Anorthosis,616,71.8590034413
Atlante,617,71.8589351633
Fagiano Okayama,618,71.8567930729
Deportivo Cuenca,619,71.835950923
Antigua,620,71.8103003995
Al Ettifaq,621,71.806898425
Reggiana,622,71.7873316813
Bari,623,71.7836750467
Brescia,624,71.7708768928
Novorizontino,625,71.7704964238
Coritiba,626,71.7639145585
Ulsan HD,627,71.7606221596
2 de Mayo,628,71.7430721672
Tondela,629,71.7109097935
Saoura,630,71.7097137133
Shanghai Shenhua,631,71.6926113135
O'Higgins,632,71.6874938135
Deportivo Recoleta,633,71.6827404933
Pohang Steelers,634,71.6732324198
Montréal,635,71.6706209759
Anyang,636,71.664822786
Al Seeb,637,71.6569815351
Jaguares de Córdoba,638,71.6538552426
Barnsley,639,71.6509449915
Atlético San Luis,640,71.6497798269
Mushuc Runa,641,71.6447144516
Gençlerbirliği,642,71.6355885218
Melgar,643,71.6297236701
Olimpia,644,71.6183892721
Zlín,645,71.598294866
Südtirol,646,71.5697767886
Defensores de Belgrano,647,71.5342979197
El Nacional,648,71.5324698971
Greuther Fürth,649,71.5291942685
Karviná,650,71.5207854098
Nieciecza,651,71.5193230042
Cartaginés,652,71.4896413239
TP Mazembe,653,71.4872179067
Palestino,654,71.4871356216
Gwangju,655,71.4714136962
Polissya,656,71.4257318977
Padova,657,71.396485829
Dender,658,71.3902711101
Bravo,659,71.3891743975
Blackpool,660,71.3460376509
Rotherham United,661,71.3445754092
Annecy,662,71.3376297801
Tenerife,663,71.3142342047
Grasshoppers,664,71.3135030987
Wigan Athletic,665,71.3120408876
Kayserispor,666,71.276217145
Sporting KC,667,71.2564096327
Vizela,668,71.2495326485
Chapecoense,669,71.2389172813
Huddersfield Town,670,71.23564227
Olympique Akbou,671,71.1927761955
Pau,672,71.1837372174
Bohemians 1905,673,71.1797164758
Olimpija,674,71.1764267859
Estrela,675,71.1756957446
Sport Recife,676,71.1599636378
Danubio,677,71.1307225662
Atlético Madrileño,678,71.1146550144
Akron,679,71.0912627961
Beerschot,680,71.0788358236
Al Khaleej,681,71.0644023326
Eyüpspor,682,71.0349767168
Wisła Kraków,683,71.0346112294
Dynamo Dresden,684,71.0079308862
Ben Aknoun,685,70.995770963
Grenoble,686,70.9947736259
San Miguel,687,70.9947588243
Virtus Entella,688,70.9786926817
Renaissance Zemamra,689,70.9679948737
Cobresal,690,70.955653183
Remo,691,70.9465164933
Heracles,692,70.9428766336
Esteghlal,693,70.9247897914
Carabobo,694,70.9165485296
Avellino,695,70.9001177433
Cerro Largo,696,70.892793849
Chaco For Ever,697,70.885850242
Mansfield Town,698,70.8770942151
V-Varen Nagasaki,699,70.8697689541
Sydney,700,70.8653835798
Ilves,701,70.8580909262
Deportivo Maipú,702,70.8569797895
City Torque,703,70.8540562294
HNK Gorica,704,70.8533401405
Yokohama,705,70.8357826287
Shkendija,706,70.8288555534
Olympic Safi,707,70.8214477109
Turan,708,70.8171615592
Avaí,709,70.8149541453
Rīgas FS,710,70.8054676535
Ballkani,711,70.7950366607
Djoliba,712,70.7814167026
Le Mans,713,70.7393256666
Drita,714,70.7230484912
Muharraq,715,70.7227028607
Colegiales,716,70.7210401002
Shamrock Rovers,717,70.71995866
Ethnikos Achna,718,70.7122850077
Tobol Kostanay,719,70.7082654908
Vejle,720,70.7042459843
Audax Italiano,721,70.6918073228
Nacional Potosí,722,70.68851867
Auckland,723,70.6808436987
Kisvárda,724,70.6764751351
Atlanta,725,70.6753641291
All Boys,726,70.6720755114
Plaza Amador,727,70.6511943355
Sekhukhune United,728,70.6500672962
Monastir,729,70.6332591554
Modern,730,70.6022011168
Deportivo Pereira,731,70.6008238513
Racing,732,70.5982661606
Al Arabi,733,70.5973710995
Fredericia,734,70.5928002071
CRB,735,70.5862085335
Maccabi Netanya,736,70.5745311768
Chacarita Juniors,737,70.5631896895
Atlético Goianiense,738,70.5580744376
Power Dynamos,739,70.5499357679
Dinamo Makhachkala,740,70.5197253873
Llaneros,741,70.5029038729
Rot-Weiss Essen,742,70.5007265027
Kristiansund,743,70.5003611419
Volos NFC,744,70.4777089379
Laval,745,70.4630947899
General Caballero JLM,746,70.4276412622
Mount Pleasant Academy,747,70.4261102912
Egnatia Rrogozhinë,748,70.4229065998
Degerfors,749,70.4210798889
Vojvodina,750,70.400986212
Querétaro,751,70.3976299671
Rodez,752,70.3816234632
Quilmes,753,70.3717447197
RWDM,754,70.3659142427
Halmstad,755,70.3589730105
Chengdu Rongcheng,756,70.3553034723
Al Zawra'a,757,70.3450780627
Ponferradina,758,70.3293817938
DC United,759,70.3267563443
León,760,70.3128742657
Al Fayha,761,70.2974202151
Herediano,762,70.2957045002
Dinamo Minsk,763,70.2910236591
Bryne,764,70.2910236591
Nueva Chicago,765,70.2862598287
Sharjah,766,70.2860955688
Shanghai Port,767,70.2720113352
Verl,768,70.2712969921
Stade Malien Bamako,769,70.2490808967
América Mineiro,770,70.2420579729
Zakho,771,70.2340236266
Iberia 1999,772,70.2033515282
Real Madrid II,773,70.1942193033
Huachipato,774,70.1876293412
Al Fateh,775,70.1794288145
Cerro,776,70.1733832405
AFC Wimbledon,777,70.1715716206
Azam,778,70.1692647092
AEL,779,70.1602479049
Araz Naxçıvan,780,70.1460020592
Antalyaspor,781,70.1372354508
Peterborough United,782,70.1361396283
Deportivo Cali,783,70.1342984659
UTA Arad,784,70.1281036205
Blooming,785,70.1215139433
Mitre Santiago d. Estero,786,70.1120169386
Celta de Vigo II,787,70.1003431915
Brommapojkarna,788,70.0941336908
MSV Duisburg,789,70.0893852662
Khenchela,790,70.0889209648
Al Wehdat,791,70.0873799215
Al Sadd,792,70.0848230869
ENPPI,793,70.0779631214
Differdange 03,794,70.0751400808
Teplice,795,70.0696611987
Bangkok United,796,70.0349458013
Inter Turku,797,70.0188911596
Plymouth Argyle,798,70.0152387039
Eintracht Braunschweig,799,70.0108557686
Juventud,800,70.0017099018
Atlas,801,69.995082158
Újpest,802,69.9783493913
Dila,803,69.9677575753
Sampdoria,804,69.9608181496
Khimki,805,69.9546092164
Güemes,806,69.9524030427
Hansa Rostock,807,69.9195474802
Stade Tunisien,808,69.9187180085
Mazatlán,809,69.913270523
Al Ansar,810,69.9122304794
Técnico Universitario,811,69.8994455996
MB Rouisset,812,69.8946135458
Cuiabá,813,69.887393473
CODM Meknès,814,69.8862135954
Atromitos,815,69.8782779285
Dundee United,816,69.8782779285
Pakhtakor,817,69.8631252916
ADO Den Haag,818,69.8527132802
Akhmat Grozny,819,69.8443135609
Energie Cottbus,820,69.8399311171
Paradou AC,821,69.8347192598
Motagua,822,69.8268821005
Mixco,823,69.8197768895
Ittihad Tanger,824,69.8025818338
Patronato,825,69.7887887479
Neftçi,826,69.7858820138
Boavista,827,69.7687181733
ES Sétif,828,69.7430563496
Ferro Carril Oeste,829,69.7380280663
Cúcuta Deportivo,830,69.7318200417
Deportivo Táchira,831,69.7310896875
ZED,832,69.7207805407
NEOM,833,69.7123015767
Envigado,834,69.7121006023
Doncaster Rovers,835,69.692396208
St. Mirren,836,69.6876490353
Paradise,837,69.6875646842
Fatih Karagümrük,838,69.6708514667
Al Jazira,839,69.6677511872
Shonan Bellmare,840,69.6628016494
Difaâ El Jadida,841,69.6608931001
Öster,842,69.6569753545
Zalaegerszeg,843,69.6405432804
TS Galaxy,844,69.6393488058
Burton Albion,845,69.6339705006
Hapoel Haifa,846,69.6116962918
Krylya Sovetov,847,69.6062190774
Olympique Dcheïra,848,69.5966262795
Patriotas Boyacá,849,69.5868516237
Real Zaragoza,850,69.5543690948
Guayaquil City,851,69.5507029667
Jaiba Brava,852,69.5488239117
Suwon,853,69.5419383114
Songo,854,69.5285121613
Al Nahda,855,69.5224237631
Volendam,856,69.5156653342
Cienciano,857,69.5101736796
Vicenza,858,69.5028860078
ASO Chlef,859,69.4914682662
Red Arrows,860,69.4899916208
Urartu,861,69.4871858401
Northampton Town,862,69.4846300142
Sarajevo,863,69.4795183755
Norrköping,864,69.4608975517
Torreense,865,69.4503093422
Manta,866,69.4291183592
